month,sunspot,year
12,3826,1936
1,4108,1937
2,3597,1937
3,2600,1937
4,3278,1937
5,3617,1937
6,3909,1937
7,4498,1937
8,4269,1937
9,3021,1937
10,3872,1937
11,2231,1937
12,2752,1937
1,3051,1938
2,3337,1938
3,2682,1938
4,3031,1938
5,3949,1938
6,2926,1938
7,5124,1938
8,3586,1938
9,2689,1938
10,3073,1938
11,3666,1938
12,2875,1938
1,2490,1939
2,2167,1939
3,2004,1939
4,3274,1939
5,3668,1939
6,3031,1939
7,3026,1939
8,3279,1939
9,3378,1939
10,2732,1939
11,2044,1939
12,1305,1939
1,1564,1940
2,1724,1940
3,2583,1940
4,1822,1940
5,1685,1940
6,2516,1940
7,2093,1940
8,3271,1940
9,1994,1940
10,1704,1940
11,1752,1940
12,2116,1940
1,1415,1941
2,1247,1941
3,1439,1941
4,983,1941
5,913,1941
6,1793,1941
7,2074,1941
8,1861,1941
9,1976,1941
10,1435,1941
11,1153,1941
12,1045,1941
1,1105,1942
2,1477,1942
3,1681,1942
4,1822,1942
5,776,1942
6,341,1942
7,550,1942
8,627,1942
9,517,1942
10,596,1942
11,921,1942
12,699,1942
1,386,1943
2,808,1943
3,850,1943
4,784,1943
5,438,1943
6,228,1943
7,410,1943
8,601,1943
9,301,1943
10,241,1943
11,305,1943
12,584,1943
1,114,1944
2,14,1944
3,340,1944
4,8,1944
5,76,1944
6,150,1944
7,156,1944
8,518,1944
9,429,1944
10,523,1944
11,325,1944
12,880,1944
1,575,1945
2,356,1945
3,673,1945
4,961,1945
5,948,1945
6,1085,1945
7,1321,1945
8,803,1945
9,1047,1945
10,2132,1945
11,1379,1945
12,850,1945
1,1476,1946
2,2414,1946
3,2376,1946
4,2270,1946
5,2633,1946
6,2206,1946
7,3603,1946
8,3324,1946
9,2832,1946
10,3172,1946
11,3713,1946
12,3774,1946
1,3586,1947
2,3734,1947
3,4024,1947
4,4495,1947
5,6240,1947
6,4918,1947
7,4895,1947
8,5852,1947
9,5082,1947
10,5072,1947
11,3839,1947
12,3611,1947
1,3362,1948
2,2497,1948
3,2939,1948
4,5691,1948
5,5395,1948
6,5033,1948
7,4409,1948
8,4896,1948
9,4299,1948
10,4224,1948
11,2873,1948
12,4277,1948
1,3693,1949
2,5104,1949
3,4881,1949
4,4409,1949
5,3291,1949
6,3651,1949
7,3900,1949
8,3838,1949
9,4359,1949
10,4079,1949
11,4306,1949
12,3645,1949
1,3150,1950
2,2655,1950
3,3402,1950
4,3403,1950
5,3293,1950
6,2508,1950
7,2821,1950
8,2641,1950
9,1540,1950
10,1902,1950
11,1644,1950
12,1677,1950
1,1858,1951
2,1678,1951
3,1734,1951
4,2788,1951
5,3364,1951
6,3017,1951
7,1906,1951
8,1890,1951
9,2492,1951
10,1599,1951
11,1572,1951
12,1419,1951
1,1261,1952
2,657,1952
3,683,1952
4,874,1952
5,725,1952
6,1093,1952
7,1219,1952
8,1702,1952
9,847,1952
10,739,1952
11,663,1952
12,1063,1952
1,821,1953
2,110,1953
3,310,1953
4,833,1953
5,387,1953
6,655,1953
7,267,1953
8,729,1953
9,578,1953
10,254,1953
11,49,1953
12,79,1953
1,7,1954
2,14,1954
3,338,1954
4,53,1954
5,24,1954
6,7,1954
7,148,1954
8,261,1954
9,44,1954
10,216,1954
11,276,1954
12,236,1954
1,717,1955
2,581,1955
3,152,1955
4,339,1955
5,897,1955
6,951,1955
7,827,1955
8,1263,1955
9,1281,1955
10,1812,1955
11,2676,1955
12,2383,1955
1,2281,1956
2,3597,1956
3,3671,1956
4,3322,1956
5,4234,1956
6,3498,1956
7,4001,1956
8,5259,1956
9,5197,1956
10,4815,1956
11,6039,1956
12,5956,1956
1,5114,1957
2,3647,1957
3,4879,1957
4,5257,1957
5,5104,1957
6,6022,1957
7,5803,1957
8,4898,1957
9,7075,1957
10,7868,1957
11,6326,1957
12,7422,1957
1,6276,1958
2,4618,1958
3,5913,1958
4,5881,1958
5,5435,1958
6,5146,1958
7,5933,1958
8,6206,1958
9,6037,1958
10,5626,1958
11,4569,1958
12,5817,1958
1,6738,1959
2,4006,1959
3,5756,1959
4,4900,1959
5,5333,1959
6,5061,1959
7,4638,1959
8,6187,1959
9,4355,1959
10,3454,1959
11,3721,1959
12,3876,1959
1,4535,1960
2,3073,1960
3,3168,1960
4,3660,1960
5,3708,1960
6,3307,1960
7,3774,1960
8,4157,1960
9,3816,1960
10,2567,1960
11,2688,1960
12,2654,1960
1,1796,1961
2,1291,1961
3,1644,1961
4,1841,1961
5,1581,1961
6,2321,1961
7,2176,1961
8,1731,1961
9,1908,1961
10,1168,1961
11,978,1961
12,1238,1961
1,1199,1962
2,1409,1962
3,1415,1962
4,1391,1962
5,1356,1962
6,1260,1962
7,676,1962
8,677,1962
9,1540,1962
10,1225,1962
11,808,1962
12,719,1962
1,614,1963
2,682,1963
3,529,1963
4,878,1963
5,1334,1963
6,1078,1963
7,609,1963
8,1030,1963
9,1165,1963
10,1094,1963
11,701,1963
12,461,1963
1,474,1964
2,512,1964
3,512,1964
4,257,1964
5,293,1964
6,274,1964
7,97,1964
8,289,1964
9,140,1964
10,188,1964
11,221,1964
12,469,1964
1,542,1965
2,399,1965
3,364,1965
4,204,1965
5,747,1965
6,478,1965
7,368,1965
8,276,1965
9,503,1965
10,624,1965
11,474,1965
12,526,1965
1,873,1966
2,684,1966
3,784,1966
4,1460,1966
5,1403,1966
6,1430,1966
7,1758,1966
8,1587,1966
9,1505,1966
10,1774,1966
11,1715,1966
12,2182,1966
1,3438,1967
2,2622,1967
3,3467,1967
4,2086,1967
5,2682,1967
6,2018,1967
7,2836,1967
8,3322,1967
9,2303,1967
10,2735,1967
11,2829,1967
12,3917,1967
1,3776,1968
2,3245,1968
3,2857,1968
4,2435,1968
5,3942,1968
6,3308,1968
7,2980,1968
8,3389,1968
9,3517,1968
10,3340,1968
11,2579,1968
12,3404,1968
1,3236,1969
2,3374,1969
3,4210,1969
4,3204,1969
5,3719,1969
6,3179,1969
7,3002,1969
8,3037,1969
9,2738,1969
10,2966,1969
11,2805,1969
12,3035,1969
1,3457,1970
2,3577,1970
3,3189,1970
4,3284,1970
5,3952,1970
6,3205,1970
7,3487,1970
8,2883,1970
9,2984,1970
