kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0,75,990,10,11.2,11.3,0,986.9
0.5,78,989.2,10.4,11.4,11.2,0,986.1
0,74,988.7,10.2,10.9,11.8,0,985.6
0,70,988.5,9.9,9.8,12.1,0,985.4
0,78,988.6,10.6,9,11.5,0,985.5
0,74,988.8,10.4,8.6,12,0,985.7
0,84,989.5,11.3,7.8,11.4,0,986.4
1.5,88,990.1,11.5,8.3,10.9,0,987
3.5,89,990.9,11.9,7.6,11.3,0,987.8
2,85,991.4,11.8,8.6,11.9,0,988.3
1.5,81,992.4,11.7,9.6,12.4,0,989.3
1.5,83,993.1,12,11.5,12.4,0,990
0.5,80,994,11.7,11.5,12.6,0,990.9
0,75,994.8,11.3,10.9,13.1,0,991.7
0.5,75,995.7,11.2,9.9,13,0,992.6
0,72,996.6,10.9,8.7,13.1,0,993.5
0.5,72,997.7,10.7,6.7,12.9,0,994.6
0,62,998.6,10,7.9,14.2,0,995.5
0,60,999.7,9.7,5.9,14.1,0,996.6
0,66,1000.3,10.1,6,13.3,0,997.2
0,68,1001.1,10.1,3.6,12.8,0,998
0,68,1001.5,10.2,3.8,13,0,998.4
0,71,1001.9,10.6,1.3,13,0,998.8
0,73,1002.5,10.7,2.1,12.6,0,999.4
0,76,1003.1,10.7,2.4,12,0,1000
0,80,1003.2,10.8,1.4,11.4,0,1000.1
0,80,1003.2,11,1.5,11.7,0,1000.1
0,81,1003.3,11.1,2,11.6,0,1000.2
0,83,1003,11.1,1.7,11.3,0,999.9
0,86,1002.7,11.4,2.8,11.1,0,999.6
0,76,1002.7,10.9,4.3,12.4,0,999.6
0,75,1003.4,10.7,4.5,12.3,0,1000.3
0,79,1003.9,11,5.7,11.9,0,1000.8
0,60,1004,9.9,4.8,14.5,1,1000.9
0,43,1004.8,8,5,16.3,1,1001.7
0,43,1005.2,8,3.9,16.3,0.5,1002.1
0,41,1006.4,8,4.6,17.1,0.8,1003.3
0,43,1007.1,8.4,4.3,17.2,0.9,1004
0,44,1007.8,8.6,1.6,17.1,0.3,1004.7
0,39,1008.1,8.4,3.6,18.6,0.5,1005
0,38,1008.4,7.9,1.6,18.1,0.5,1005.3
0,32,1009.6,6.7,4,18.2,0.9,1006.5
0,35,1010.7,6.7,4,16.9,0.9,1007.6
0,40,1011.4,7.4,3.9,16.2,0,1008.3
0,48,1012.3,8.2,5.1,15.1,0,1009.2
0,56,1012.9,8.7,3.2,13.6,0,1009.8
0,58,1013.2,8.7,3.5,13,0,1010.1
0,63,1013.4,9,3,12.2,0,1010.2
0,66,1013.6,9.1,4.7,11.7,0,1010.4
0,71,1013.3,9.1,4.8,10.7,0,1010.1
0,71,1013,9.1,5,10.7,0,1009.8
0,66,1012.4,9.3,5.6,12.1,0,1009.2
0,70,1012.3,9.3,4.2,11.2,0,1009.1
0,76,1011.8,9.8,1.6,10.7,0,1008.6
0,74,1011.2,10.3,3,11.9,0,1008
0,76,1010.3,10,4.4,11.1,0,1007.1
0,71,1009.9,9.6,2.9,11.5,0,1006.7
0,72,1008.9,10,2.8,11.9,0,1005.8
0,65,1007.8,10.4,3.9,14,0.4,1004.7
0,59,1006.8,11.4,9.8,17,0.5,1003.7
0,65,1005.3,13,7.6,17.5,0.6,1002.2
0,73,1003.4,14,9,16.8,0.5,1000.3
0,86,1001.8,16,4.8,16.4,0,998.7
0,83,999.9,16.7,7.7,17.6,0,996.8
1,71,999.7,14.7,8.2,18.1,0,996.7
0,76,999.2,14.7,8.3,17,0,996.1
0.5,63,997.9,12.8,6.7,17.7,0,994.9
0,56,998.2,11.3,5.2,17.6,0,995.2
0,49,999.2,9.3,6.3,16.7,0,996.1
0,46,999.5,8,6.9,15.4,0,996.4
0.5,48,999.9,8.1,6.8,14.8,0,996.8
0,44,999.7,7.3,5.8,14.5,0,996.6
0.5,54,1000.1,8.3,8.7,13.4,0,997
